Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
49868, 49664, 67343, 66745, 76806, 59102, 69459, 71814, 83872
49773, 50923, 70838, 70561, 74276, 51237, 72172, 69945, 76975
49906, 50132, 68207, 70524, 76085, 50834, 68800, 71516, 76338
49989, 50342, 67819, 68740, 79324, 57453, 68486, 79536, 78245
48544, 49005, 65945, 69059, 79153, 54470, 70123, 75207, 82059
48707, 48934, 66684, 71612, 74621, 54900, 70117, 79215, 84118
50825, 49702, 67591, 69468, 82165, 58888, 68069, 73490, 86980
50255, 49228, 67574, 68525, 78415, 69996, 66985, 71358, 85476
50156, 49182, 65620, 70385, 74016, 49820, 69793, 74556, 81912
50403, 49633, 69050, 69667, 76037, 50144, 70069, 71069, 78912
50482, 49863, 66854, 72036, 74211, 50928, 68942, 76921, 79090
51155, 51207, 71359, 83805, 94711, 59284, 73946, 80425, 89348
52294, 59248, 68829, 75561, 80025, 50920, 73769, 76747, 84628
55209, 53011, 73737, 72121, 72658, 51124, 67960, 74139, 83379
55616, 59594, 70712, 69921, 77472, 54330, 73000, 80253, 83975
56713, 49279, 68858, 72270, 91568, 53152, 68436, 72623, 82815
50533, 63271, 73283, 75920, 91111, 62018, 73426, 77268, 80226
55433, 56976, 73662, 73150, 76313, 57160, 76806, 80933, 86280
59019, 53200, 71360, 75659, 78748, 60396, 79344, 75283, 84786
55596, 58037, 72490, 74942, 80390, 55385, 75036, 81559, 80638
52500, 53545, 65607, 73243, 76879, 54580, 71028, 75790, 83752
51013, 57978, 71058, 70047, 77859, 60971, 69088, 74308, 85410
55964, 53255, 67744, 74574, 76343, 67843, 70590, 70856, 85046
57499, 49655, 66813, 71546, 72850, 54242, 76638, 80290, 84317
55750, 53124, 66727, 76240, 80673, 54238, 78934, 80061, 83690
56080, 55269, 67425, 80066, 88871, 54754, 77927, 75518, 82103
57056, 50503, 67034, 74668, 76351, 57560, 73272, 74287, 81705
51627, 51470, 69027, 74180, 80082, 59487, 72071, 81761, 82938
50086, 55612, 74755, 73921, 78121, 50742, 68669, 80214, 78961
51713, 50388, 71890, 86967, 102577, 59001, 74591, 75066, 83006
52585, 50335, 72151, 71817, 78307, 53556, 70569, 78521, 82217
50205, 57830, 75380, 77682, 82757, 62202, 69977, 83124, 79863
54685, 50825, 66023, 70780, 73649, 53391, 68060, 73858, 88437
54786, 60788, 69781, 69800, 72938, 51406, 75215, 81960, 81394
51433, 51003, 70487, 78328, 76179, 56914, 75612, 73645, 84430
52914, 52627, 71036, 76073, 80654, 55692, 74565, 72984, 78305
52934, 52014, 68840, 72355, 73008, 57592, 69725, 75238, 88029
56198, 51202, 69245, 68722, 73912, 52120, 71813, 72610, 83702
58581, 51022, 80403, 69578, 77524, 57813, 73074, 76355, 82347
51170, 52269, 71638, 76351, 74776, 59759, 71040, 74508, 82206
57248, 50393, 68009, 71746, 85454, 65994, 70491, 72470, 80369
53546, 54317, 69505, 73136, 81999, 64726, 71843, 75459, 88360
54722, 59413, 68802, 79685, 90755, 70239, 71362, 73959, 81885
61454, 56167, 69964, 73944, 76491, 51814, 69377, 78474, 82441
58600, 52875, 72397, 77631, 80370, 50703, 78951, 76228, 75995
51789, 52651, 73769, 86817, 92556, 56970, 72168, 77046, 80923
51174, 54713, 67992, 75116, 82503, 54923, 74860, 70391, 85235
52949, 51653, 69499, 72522, 84332, 54952, 71177, 78461, 87144
57021, 50128, 70555, 72921, 77914, 56912, 70132, 76342, 83627
52340, 53268, 76705, 77630, 94778, 67292, 69822, 81706, 97684
56766, 51385, 69700, 74537, 76835, 59712, 72124, 75678, 82765
61979, 57378, 67176, 73203, 84790, 61964, 72181, 69740, 78529
51504, 54470, 72231, 77154, 74585, 51718, 71149, 78865, 83113
51376, 56218, 67930, 70297, 76872, 55805, 71779, 73770, 82278
54143, 54300, 72171, 72333, 84196, 71464, 72188, 75738, 83053
59723, 51252, 70007, 79691, 73475, 49635, 79010, 72486, 78832
53210, 50815, 73342, 77315, 70889, 51142, 77463, 80936, 79417
51025, 52103, 66564, 72225, 81029, 67577, 66109, 79827, 83526
52485, 55729, 70886, 73188, 81338, 52816, 70420, 74442, 81823
54951, 52737, 66814, 73977, 74980, 53890, 68097, 75602, 78541
58521, 51598, 76086, 72070, 84109, 56708, 70624, 72747, 85026
51461, 51128, 77275, 72271, 93054, 62557, 73955, 73394, 81727
52906, 50934, 68124, 71825, 79201, 52032, 70900, 77450, 84100
51881, 51124, 66982, 75320, 86439, 60424, 76044, 75866, 85270
52807, 56432, 72475, 75519, 75814, 67671, 71425, 75187, 81269
51460, 56492, 72199, 82032, 92064, 72118, 77854, 74020, 85779
54295, 52097, 72602, 69931, 79391, 55840, 73270, 72686, 82081
56507, 53324, 75349, 74947, 72282, 60992, 70440, 76343, 80799
50603, 51452, 72018, 75792, 71948, 60512, 72967, 75741, 79289
56553, 53550, 66727, 71344, 87467, 61828, 71238, 70607, 82883
54081, 52630, 72085, 70832, 75891, 58176, 76157, 77865, 82650
52363, 50700, 77259, 78000, 77155, 70381, 76903, 73244, 80199
60227, 53175, 75512, 80232, 79826, 61964, 70065, 75450, 81510
55801, 52488, 76056, 72032, 75074, 56846, 77038, 77774, 84520
54336, 54174, 66617, 73475, 76212, 60247, 75493, 77923, 80934
56570, 56643, 75152, 69241, 77466, 50200, 71681, 78901, 77939
55387, 52259, 71358, 71583, 75961, 58789, 72564, 76928, 83347
51109, 51656, 69827, 78525, 84612, 57296, 70413, 74295, 82992
53876, 50743, 67134, 69510, 79248, 56042, 71841, 78312, 86614
57847, 54748, 71469, 76767, 77991, 62211, 74977, 75141, 85382
56641, 54611, 73125, 79565, 82313, 60265, 75800, 78976, 86212
59098, 55155, 73642, 71930, 84778, 53763, 71306, 77458, 84005
56640, 55164, 76863, 73297, 80520, 59309, 75116, 75181, 85929
59025, 59658, 74694, 78984, 90163, 61010, 71091, 75876, 80391
56233, 57594, 69467, 70924, 79399, 64823, 73143, 75835, 90153
65594, 51272, 70929, 76345, 78453, 51304, 69046, 79288, 81852
50041, 50080, 70008, 68225, 76057, 54312, 69827, 88471, 81609
50159, 49432, 67498, 68776, 71641, 52441, 71847, 78252, 81047
50687, 50862, 68139, 70122, 73063, 56395, 67003, 74237, 82509
51638, 50045, 67336, 67949, 74719, 58543, 69072, 77343, 80332
49290, 55177, 73454, 71199, 74725, 55105, 69823, 72349, 83507
50142, 50302, 65447, 70383, 78333, 52928, 74514, 74638, 91190
52600, 50713, 68133, 71347, 74058, 51081, 70063, 75869, 98697
50753, 50011, 66418, 68703, 72685, 51057, 67918, 76752, 84645
50675, 49616, 72498, 69656, 71795, 50809, 74775, 81035, 79299
52086, 50833, 71586, 67391, 79084, 50655, 68924, 77532, 85986
52060, 53056, 77881, 74944, 85383, 61232, 75592, 74398, 83903
49530, 49965, 65869, 72302, 88990, 61570, 70876, 73448, 76424
50026, 50650, 65960, 70125, 76684, 51028, 68363, 74646, 91947
51882, 49692, 68194, 72762, 73625, 49554, 70966, 75437, 78850
52211, 49057, 69887, 70572, 78899, 50012, 75832, 70655, 83067
49993, 50432, 69100, 79458, 82248, 60483, 70756, 75161, 81691
50513, 50122, 67718, 71177, 80011, 54728, 70913, 71328, 77382
51442, 50386, 65546, 78447, 77112, 55194, 71302, 72049, 82644
49841, 50361, 72511, 68974, 74531, 51854, 68854, 73882, 88243
50952, 50976, 69997, 72578, 76599, 60388, 66559, 73617, 101283
78444, 48537, 66863, 73190, 94678, 63830, 67241, 73732, 84525
58436, 49337, 67185, 72871, 74297, 50755, 70127, 76956, 79177
49568, 50832, 70091, 73648, 77228, 51196, 69358, 79244, 81020
50880, 49321, 67018, 68643, 86967, 57849, 67483, 75955, 78985
50440, 49049, 69947, 70907, 80612, 58188, 70330, 71454, 82341
50177, 49458, 67063, 71325, 77087, 58199, 68137, 74911, 80924
50112, 51198, 66229, 68348, 73323, 52859, 73670, 74144, 82603
48494, 49829, 67699, 71599, 82266, 55345, 68259, 75790, 81053
51198, 49113, 67960, 75318, 89508, 50863, 75019, 75086, 78996
49007, 49595, 65315, 76830, 91001, 60154, 73874, 76865, 88409
55923, 57575, 75161, 73908, 77974, 60139, 76351, 77302, 88927
61846, 55675, 72418, 74682, 77549, 58263, 73056, 73443, 82243
55469, 57653, 70146, 75960, 87135, 58384, 76887, 77515, 82240
59202, 54987, 72571, 72822, 77480, 59728, 72562, 76045, 92177
57607, 59192, 70324, 76521, 87763, 59704, 73778, 83853, 87985
57293, 56815, 75474, 111823, 117213, 67177, 76548, 77515, 90183
60917, 52220, 70068, 84160, 84905, 53515, 72095, 80236, 82813
55478, 60075, 73000, 75141, 88512, 69084, 73654, 73946, 83216
56181, 57923, 77534, 79157, 77189, 51631, 72168, 76617, 77126
51272, 50868, 68738, 74398, 74153, 58316, 70075, 73028, 79855
52278, 58731, 78971, 71576, 77416, 69696, 73779, 73742, 87822
55875, 56428, 68395, 78181, 81681, 62284, 73577, 73136, 76855
58395, 58902, 79565, 74181, 76813, 54926, 74880, 76813, 86964
64738, 57527, 74561, 82440, 82280, 54910, 71548, 78530, 81369
58096, 55209, 69375, 69000, 78457, 66704, 74659, 85398, 84235
56387, 61041, 80329, 77438, 74856, 58159, 69203, 73905, 89903
53561, 65999, 79829, 85244, 89740, 52387, 70397, 74059, 90885
53814, 53726, 71495, 67179, 73951, 51765, 71523, 77606, 78940
49774, 50448, 73407, 70798, 82851, 51322, 70591, 71959, 83368
51728, 51385, 67477, 71719, 75631, 58937, 73276, 74691, 81321
52591, 52211, 74030, 75401, 76247, 60323, 71695, 78072, 83759
57150, 49861, 66842, 71511, 75126, 53615, 70163, 75005, 86820
