Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
20995, 21522, 35229, 36498, 37367, 22063, 12386, 10652, 10537
22288, 21268, 35462, 34860, 36274, 22975, 12760, 9998, 10715
22454, 21201, 35244, 33156, 37519, 21527, 12897, 9140, 11156
22830, 21138, 35210, 33887, 36178, 21589, 12305, 9859, 10424
22410, 21088, 35491, 35006, 35771, 21572, 13102, 9432, 10021
22539, 21641, 41307, 33167, 35549, 21482, 13530, 9766, 9933
22010, 21000, 35229, 34576, 37438, 21416, 12370, 9606, 11013
21959, 20888, 35034, 38736, 35972, 21452, 12495, 9791, 11038
21916, 20993, 34707, 33374, 36746, 21686, 12778, 10425, 11574
21949, 20871, 36424, 35126, 35952, 21674, 12118, 9876, 11070
21761, 20897, 34864, 35490, 36187, 21551, 12619, 9392, 10877
21836, 20901, 34615, 35298, 40157, 21372, 12316, 13311, 9982
21811, 20829, 37369, 33686, 38456, 22218, 13816, 9951, 10772
21983, 24479, 35268, 33856, 37870, 21591, 11991, 10054, 10616
20515, 21349, 35584, 34886, 36945, 22169, 13383, 10899, 11069
20481, 21105, 35544, 34064, 36430, 21880, 12340, 9936, 10151
21179, 21213, 35620, 35845, 36650, 22083, 13691, 10728, 11638
20498, 21512, 36029, 34899, 40619, 22006, 12665, 10618, 11251
20589, 21291, 35665, 34499, 35780, 22169, 12973, 9811, 11620
20918, 21414, 35368, 34527, 36919, 25191, 13071, 10733, 11056
21028, 21554, 35203, 34532, 36152, 22061, 13800, 10101, 11800
20991, 21407, 35276, 34711, 35800, 22028, 12530, 9974, 12069
20963, 21542, 35394, 34759, 36230, 22050, 15970, 9956, 12047
24685, 21795, 36185, 37527, 42110, 22545, 13785, 10281, 11420
21759, 21733, 36553, 38434, 37288, 22493, 13267, 9888, 11439
21773, 21745, 37275, 36366, 37398, 23295, 12875, 11754, 11572
22071, 21713, 36754, 35764, 37636, 22502, 13527, 10654, 10821
21198, 21973, 36552, 34629, 37878, 22652, 12984, 11369, 12545
21111, 21908, 36986, 36340, 37670, 22852, 13897, 10412, 11255
21189, 21921, 35648, 35972, 36717, 22792, 12940, 10805, 11877
21109, 21945, 35759, 35605, 37504, 22685, 13653, 10250, 11000
21182, 21930, 36228, 35575, 37200, 22296, 12380, 11262, 10933
22746, 21056, 35859, 34477, 37037, 21645, 12889, 9740, 9954
20973, 20976, 35584, 35327, 36195, 21539, 12385, 10664, 10490
21158, 20963, 35506, 35001, 36409, 21663, 13296, 11411, 10279
21108, 21040, 36386, 34518, 36522, 21644, 12733, 11135, 13611
21035, 21779, 35694, 37247, 36858, 22224, 13349, 9978, 10829
21009, 21607, 35187, 34654, 37459, 22256, 12828, 10747, 10853
21039, 21612, 35699, 37936, 37044, 25007, 13275, 10943, 10750
21038, 21609, 35007, 35609, 37458, 22370, 12743, 9608, 10743
21084, 21614, 36217, 36213, 38222, 22618, 13601, 9525, 10900
21872, 21858, 37560, 34848, 37620, 22588, 12954, 9741, 10988
21797, 21915, 36767, 34941, 37464, 22861, 14833, 10753, 10931
21883, 21884, 37260, 35224, 38446, 22711, 13106, 10115, 11500
21884, 21920, 36941, 39471, 37807, 22155, 13603, 10151, 10356
21453, 21485, 35952, 34475, 36306, 22111, 13856, 10904, 11789
21427, 21410, 35743, 34354, 37288, 22254, 13483, 10530, 10390
21502, 21683, 36024, 34171, 37724, 22277, 12992, 10272, 12686
21328, 21552, 35787, 34313, 36623, 22296, 12572, 10721, 10777
20706, 21764, 35711, 37909, 37054, 22274, 13524, 10421, 12771
20689, 24257, 36110, 34932, 37488, 22425, 12942, 10145, 10167
20783, 21700, 35797, 35366, 37061, 22457, 12936, 9691, 11401
20694, 22066, 37065, 34842, 37657, 22457, 13183, 11166, 11447
20630, 21728, 36336, 36980, 37883, 23111, 13104, 10276, 11404
22471, 22034, 36249, 37652, 38053, 22769, 12772, 10336, 10807
22346, 22062, 36233, 36072, 38648, 22751, 14536, 9722, 11577
22372, 22127, 35687, 37010, 41769, 22889, 12891, 10238, 10458
22358, 22047, 36161, 35676, 37851, 22521, 12471, 9843, 10625
21248, 20978, 35185, 36001, 35745, 21342, 12352, 9543, 9582
20963, 26292, 34794, 34794, 35566, 23983, 13051, 9856, 10792
23515, 20722, 35759, 34592, 36090, 22052, 12245, 10206, 9772
23485, 20737, 38021, 35272, 35941, 21546, 12829, 10177, 11085
20967, 20684, 35117, 35147, 36574, 21599, 12353, 9445, 11211
21122, 23685, 35593, 34325, 36080, 21577, 13343, 9788, 11231
21161, 21046, 38385, 34411, 36691, 21881, 14003, 10009, 10322
21118, 21225, 34915, 35337, 37572, 22368, 13050, 9634, 10883
21242, 21009, 35720, 34418, 35314, 21249, 13480, 10002, 10883
21155, 22325, 36113, 38013, 36444, 21552, 12764, 9266, 10470
20879, 21516, 35407, 34728, 36137, 21560, 12446, 9904, 11141
20927, 20926, 35138, 34935, 35659, 21633, 14097, 9612, 9641
20917, 20929, 34744, 33321, 35930, 21973, 12663, 10029, 11221
20968, 20891, 34654, 34094, 35687, 20922, 12404, 11120, 10218
20988, 20263, 35096, 34008, 34832, 20837, 12265, 10381, 10401
21070, 20313, 37220, 32493, 35258, 20924, 14070, 9491, 9683
21434, 20490, 35114, 32898, 36407, 20813, 11999, 9549, 9513
21124, 20347, 37558, 34744, 34409, 21357, 13369, 10456, 10686
21719, 21641, 36443, 36001, 36781, 22790, 12682, 11105, 10575
21668, 21539, 36181, 37413, 37179, 23170, 13407, 9767, 10659
21597, 21708, 36986, 35167, 36229, 22422, 12735, 11082, 10769
21643, 21716, 35670, 36104, 36799, 22121, 13224, 10186, 10258
21567, 21444, 35674, 36796, 36540, 21820, 12659, 10501, 11045
22827, 21155, 35684, 35724, 37297, 22425, 13181, 10338, 10098
21435, 21226, 35014, 35104, 36482, 22019, 12398, 9855, 10155
21430, 21230, 35414, 34853, 36512, 21757, 12975, 10190, 11212
21448, 21214, 39693, 33955, 36839, 21701, 12751, 10589, 9331
21028, 20886, 35086, 35041, 36041, 21641, 13051, 10035, 10025
20853, 20854, 34680, 34833, 36456, 21591, 12403, 12006, 9846
