Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
26395, 26404, 39558, 41764, 43014, 27151, 21195, 22826, 26321
26329, 26343, 41173, 41485, 42421, 26922, 21835, 21919, 26731
26435, 27047, 40707, 41232, 41292, 26798, 21372, 23018, 24952
26352, 26369, 40906, 40166, 43654, 29777, 22501, 22648, 27270
26605, 26928, 41365, 42209, 42156, 29390, 22658, 22814, 27734
26934, 27287, 41357, 40060, 42579, 27474, 21891, 23727, 25997
26668, 26953, 40593, 40816, 42952, 27592, 22313, 21905, 25865
26620, 27041, 41536, 41329, 42098, 27283, 21336, 23299, 26193
27408, 27000, 40626, 41759, 42118, 27192, 22472, 22997, 26196
26414, 26549, 40943, 41008, 43064, 27395, 21575, 22375, 25520
26474, 26933, 41181, 43883, 44113, 27924, 22616, 22954, 26955
27170, 27297, 42340, 41786, 43845, 28280, 22941, 23550, 26560
26819, 27420, 41792, 42769, 43731, 27886, 22657, 23171, 27810
26711, 27624, 42167, 42387, 43282, 27003, 21649, 22892, 25524
26937, 26117, 40534, 38903, 42082, 27152, 21182, 22679, 25981
26809, 26454, 41251, 40610, 42529, 26990, 22180, 22354, 28115
27355, 27115, 40866, 39459, 40835, 26741, 22545, 23078, 25983
26731, 26119, 40858, 39244, 42912, 27146, 21747, 22705, 25262
26770, 26042, 39909, 40707, 41133, 26371, 21909, 21597, 25147
27412, 26395, 40389, 42177, 41816, 26660, 20936, 23205, 26699
26872, 26040, 40919, 40339, 43448, 27951, 21607, 22442, 24856
27460, 26931, 41981, 41893, 42433, 27581, 22304, 23069, 24805
28351, 27386, 40650, 40940, 42082, 27346, 22088, 24033, 26158
27505, 27012, 41164, 40840, 43136, 27861, 21491, 22177, 25779
28309, 27072, 40713, 42311, 42790, 27661, 21498, 22346, 25534
27068, 27579, 41959, 42140, 42245, 27454, 22203, 22592, 26778
26545, 27037, 40673, 39874, 43487, 27940, 21420, 21492, 27078
